,experience (time),turnover,female,age,industry,profession,coach,head_female,greywage,foot,extraversion,independ,selfcontrol,anxiety,novator,bus,car,Company
21,36.96098563,1,1,48.0,State,BusinessDevelopment,0,1,0,0,4.6,6.2,4.9,5.6,6.7,1,0,Comune di modena
22,22.47227926,1,1,29.0,Banks,Finanñe,0,1,0,0,7.8,4.8,5.7,7.1,6.0,0,1,Credit suisse
23,59.20328542,1,1,25.0,Banks,HR,1,1,0,0,5.4,4.8,7.2,5.6,5.2,1,0,Unicredit
24,59.20328542,1,1,25.0,Banks,HR,1,1,0,0,4.6,4.1,8.7,5.6,2.1,1,0,Ing
25,12.38603696,1,1,36.0,Banks,Finanñe,0,0,0,0,7.8,6.9,3.3,3.3,7.5,0,1,Société générale
26,24.3449692,1,1,36.0,Retail,HR,1,0,0,0,7.8,2.6,5.7,7.1,5.2,1,0,Caprabo
27,11.95893224,1,0,29.0,Banks,HR,0,1,0,0,3.8,1.9,9.5,7.9,3.7,0,1,Ing
28,3.252566735,1,1,35.0, HoReCa,HR,1,1,0,0,3.0,7.6,7.2,4.0,7.5,1,0,Buffalo grill
29,3.252566735,1,1,35.0, HoReCa,HR,1,1,0,0,1.4,8.4,8.0,4.8,6.0,1,0,Buffalo grill
30,14.58726899,1,1,21.0,Telecom,Sales,1,1,0,0,8.6,4.1,4.9,5.6,6.0,1,0,Netcologne
31,16.91991786,1,0,35.0,etc,Sales,0,0,0,0,4.6,3.4,4.1,8.7,4.4,0,1,Uefa
32,28.15605749,1,1,25.0,etc,etc,1,1,0,0,3.8,6.9,6.4,7.1,7.5,1,0,Teatro alla scala
33,60.94455852,1,1,30.40033257,Retail,HR,0,0,0,0,7.0,6.2,4.1,2.5,6.7,1,0,Zooplus ag
34,87.68788501,1,1,29.0,Consult,HR,0,1,0,0,7.0,6.2,4.1,4.0,9.0,1,0,Soges s.p.a.
35,43.4661191,1,1,22.0,Pharma,HR,0,0,0,0,3.0,4.1,8.7,7.1,6.0,1,0,Cromsource
36,22.73511294,1,1,34.0,Retail,HR,0,0,0,0,5.4,5.5,4.9,4.8,4.4,0,1,Global intergold
37,22.73511294,1,1,34.0,Retail,HR,0,0,0,0,6.2,6.2,4.9,3.3,2.9,0,1,Global intergold
38,22.73511294,1,1,34.0,Retail,HR,0,0,0,0,5.4,5.5,4.9,4.8,4.4,0,1,Lidl italia
39,22.73511294,1,1,34.0,Retail,HR,0,0,0,0,6.2,6.2,4.9,3.3,2.9,0,1,Intertoys
40,13.07597536,1,1,21.0,etc,HR,0,1,0,0,5.4,7.6,4.9,3.3,2.1,1,0,Teatro real
41,7.589322382,1,1,22.0,etc,HR,1,1,1,0,7.0,4.8,6.4,4.0,4.4,0,1,Uefa
42,36.23819302,1,1,32.0,Retail,HR,0,0,0,0,3.0,7.6,7.2,4.8,2.9,0,1,Edeka aktiengesellschaft
43,19.08829569,1,1,36.0,Pharma,etc,0,1,0,0,4.6,7.6,5.7,5.6,8.3,0,1,Cromsource
44,4.369609856,1,1,30.0,Banks,HR,0,0,0,0,6.2,3.4,8.0,3.3,3.7,1,0,Banco santander
45,80.98562628,1,1,32.0,Retail,HR,1,0,0,0,3.8,6.2,8.0,4.0,6.0,1,0,Tape à l'oeil
46,9.100616016,1,1,33.0,Retail,HR,0,0,0,0,7.0,4.8,4.1,7.1,8.3,0,1,Caprabo
47,36.92813142,1,1,49.0,State,BusinessDevelopment,1,1,0,0,4.6,6.2,4.9,5.6,6.7,1,0,Ayuntamiento de malaga
48,3.975359343,1,1,29.0,Retail,HR,1,0,0,0,7.8,5.5,5.7,4.0,5.2,1,0,Lidl italia
49,3.975359343,1,1,29.0,Retail,HR,1,0,0,0,6.2,6.2,5.7,6.3,2.9,1,0,Edeka aktiengesellschaft
50,3.975359343,1,1,29.0,Retail,HR,1,0,0,0,7.0,6.2,5.7,4.0,3.7,1,0,General optica
51,7.589322382,1,0,36.0,Mining,HR,0,0,0,1,4.6,4.8,7.2,6.3,7.5,0,0,Dunlop conveyor belting
52,95.21149897,1,1,22.0,State,Teaching,1,0,0,0,8.6,4.8,4.9,4.0,6.7,1,0,Comune di modena
53,41.69199179,1,1,21.0,transport,HR,1,1,0,1,7.8,5.5,2.6,7.1,9.0,0,0,Sbb cargo
54,14.9486653,1,1,25.0,Retail,HR,0,1,0,0,8.6,6.2,3.3,6.3,6.0,1,0,General optica
55,50.72689938,1,0,38.0,manufacture,HR,0,0,0,0,6.2,3.4,7.2,6.3,3.7,0,1,Siemens
56,50.72689938,1,0,38.0,manufacture,HR,0,0,0,0,7.0,5.5,5.7,6.3,6.0,0,1,"Mettler-toledo international, inc"
57,35.28542094,1,1,23.0,Consult,HR,1,1,0,0,10.0,4.8,4.1,5.6,8.3,1,0,Vertone
58,35.28542094,1,1,23.0,Consult,HR,1,1,0,0,8.6,4.8,4.1,6.3,9.0,1,0,Vertone
59,35.94250513,1,0,38.0,Banks,BusinessDevelopment,0,0,0,0,8.6,3.4,6.4,4.0,6.0,0,1,Unicredit
60,15.57289528,1,1,24.0,Retail,HR,0,1,0,1,6.2,7.6,3.3,3.3,6.7,0,0,Coop
61,15.57289528,1,1,24.0,Retail,HR,0,1,0,1,6.2,7.6,3.3,3.3,6.7,0,0,Lidl italia
62,52.96098563,1,1,36.0,manufacture,HR,1,0,0,0,4.6,4.1,8.0,5.6,6.0,0,1,Siemens
63,7.819301848,1,1,21.0,State,Sales,1,0,1,0,4.6,5.5,7.2,3.3,5.2,1,0,Caisse des dépôts
64,81.83983573,1,1,29.0,Telecom,HR,1,1,0,1,3.8,6.9,6.4,5.6,8.3,0,0,Netcologne
65,55.72073922,1,1,29.0,Banks,HR,1,1,0,0,7.0,6.2,4.1,4.0,4.4,1,0,Société générale
66,4.336755647,1,1,26.0,manufacture,HR,0,1,0,0,3.8,4.8,5.7,7.9,2.9,0,1,Carel
67,18.95687885,1,0,36.0,etc,manage,1,0,0,0,6.2,4.1,6.4,6.3,5.2,0,1,Teatro alla scala
68,18.95687885,1,0,36.0,etc,manage,1,0,0,0,8.6,2.6,7.2,4.8,4.4,0,1,Teatro alla scala
69,53.81519507,1,1,30.40033257,State,Teaching,0,0,0,1,4.6,9.1,4.1,4.0,6.0,0,0,Comune di modena
70,90.51334702,1,1,22.0,State,HR,1,1,0,0,6.2,5.5,3.3,6.3,6.7,1,0,Caisse des dépôts
71,40.57494867,1,0,29.0,Banks,Marketing,0,1,0,0,6.2,4.8,6.4,5.6,5.2,1,0,Banco santander
72,59.49897331,1,1,23.0,State,Teaching,0,1,0,0,7.0,5.5,3.3,6.3,5.2,1,0,Caisse des dépôts
73,6.603696099,1,0,22.0,manufacture,manage,0,1,0,1,7.8,5.5,1.0,9.4,9.0,0,0,Siemens
74,44.78028747,1,1,36.0,etc,HR,0,0,0,0,7.8,4.8,4.9,5.6,9.0,1,0,Teatro alla scala
75,6.669404517,1,0,27.0,State,Teaching,0,1,0,0,6.2,5.5,6.4,4.0,4.4,1,0,Ayuntamiento de malaga
76,15.70431211,0,1,34.0,Retail,HR,0,1,0,0,8.6,5.5,4.1,5.6,6.7,0,1,Edeka aktiengesellschaft
77,15.70431211,0,1,34.0,Retail,HR,0,1,0,0,8.6,3.4,4.1,7.1,6.0,0,1,Action
78,15.70431211,0,1,34.0,Retail,HR,0,1,0,0,7.8,4.1,4.1,7.1,6.7,0,1,Sarenza
79,59.20328542,1,1,25.0,Banks,HR,0,1,0,0,5.4,4.8,7.2,5.6,5.2,1,0,Unicredit
80,59.20328542,1,1,25.0,Banks,HR,0,1,0,0,4.6,4.1,8.7,5.6,2.1,1,0,Lbbw
81,17.3798768,1,1,24.0,Consult,HR,0,1,0,0,5.4,6.9,4.9,4.0,6.7,1,0,Vertone
82,38.86652977,1,1,27.0,Retail,etc,1,0,0,0,5.4,6.9,2.6,5.6,8.3,1,0,Zooplus ag
83,7.950718686,1,1,34.0,Banks,BusinessDevelopment,1,0,0,0,7.0,6.2,7.2,2.5,5.2,0,1,Société générale
84,7.950718686,1,1,34.0,Banks,BusinessDevelopment,1,0,0,0,8.6,6.9,5.7,3.3,4.4,0,1,Ing
85,96.52566735,1,1,24.0,IT,HR,0,1,0,0,6.2,4.8,7.2,4.0,6.7,1,0,Sita
86,86.53798768,1,1,23.0,State,Teaching,1,1,0,0,3.8,6.9,8.0,1.7,2.1,1,0,Comune di modena
87,52.862423,1,1,38.0,Telecom,HR,0,0,0,0,4.6,5.5,7.2,6.3,7.5,0,1,Vodafoneziggo
88,17.57700205,1,1,25.0,Banks,HR,0,0,0,0,6.2,6.2,5.7,5.6,7.5,1,0,Credit suisse
89,17.57700205,1,1,25.0,Banks,HR,0,0,0,0,6.2,7.6,4.1,4.8,9.0,1,0,Unicredit
90,25.06776181,1,1,28.0,manufacture,HR,1,0,0,0,6.2,4.8,4.1,4.0,6.7,1,0,Simon
91,86.83367556,1,1,29.0,manufacture,HR,1,1,0,0,7.0,5.5,1.8,6.3,6.0,0,1,"Mettler-toledo international, inc"
92,13.10882957,1,0,26.0,etc,Commercial,0,0,0,0,6.2,4.1,4.9,6.3,2.9,0,1,Teatro alla scala
93,26.18480493,1,0,21.0,etc,Marketing,0,0,0,0,4.6,6.9,4.1,5.6,6.0,1,0,Mcfit global group gmbh
94,9.626283368,1,1,25.0,Consult,HR,1,1,0,0,5.4,6.9,5.7,3.3,2.9,1,0,Ebbinge
95,9.889117043,1,1,25.0,Consult,HR,1,1,0,0,5.4,6.9,5.7,3.3,2.9,1,0,Soges s.p.a.
96,3.351129363,1,1,24.0,Consult,HR,0,1,0,0,4.6,6.9,5.7,5.6,2.9,1,0,Ebbinge
97,15.3100616,1,1,31.0,State,HR,0,0,1,0,2.2,1.0,8.0,8.7,3.7,1,0,Comune di modena
98,80.06570842,1,1,45.0,Retail,HR,0,1,0,0,3.0,5.5,10.0,6.3,2.9,1,0,Coin
99,16.78850103,1,1,21.0,etc,etc,1,1,0,0,7.0,6.9,5.7,4.0,5.2,1,0,Teatro alla scala
100,19.44969199,1,1,22.0,etc,HR,1,1,0,0,5.4,6.2,4.1,8.7,8.3,1,0,Uefa
101,9.034907598,1,1,37.0,Mining,Commercial,1,0,0,0,3.8,7.6,4.9,7.1,9.0,1,0,Dunlop conveyor belting
102,18.49691992,1,1,32.0,etc,HR,1,0,0,0,7.8,6.2,3.3,4.0,8.3,1,0,Uefa
103,53.19096509,1,1,37.0,manufacture,HR,1,0,0,0,7.0,4.8,5.7,6.3,8.3,1,0,Imtech
104,42.57905544,1,1,30.0,Retail,HR,0,1,0,0,6.2,6.2,5.7,5.6,8.3,1,0,Intertoys
105,23.6550308,1,1,37.0,transport,HR,0,0,0,0,6.2,5.5,5.7,6.3,9.0,1,0,Systra
106,41.29774127,1,1,22.0,Pharma,HR,0,0,0,0,3.8,1.9,8.7,6.3,4.4,1,0,Cromsource
107,41.29774127,1,1,22.0,Pharma,HR,0,0,0,0,5.4,2.6,8.0,7.1,5.2,1,0,Cromsource
108,123.3347023,1,1,22.0,Banks,IT,1,0,0,0,4.6,4.8,6.4,7.1,6.0,1,0,Unicredit
109,123.3347023,1,1,22.0,Banks,IT,1,0,0,0,4.6,6.2,6.4,4.0,6.7,1,0,Société générale
110,13.17453799,1,0,28.0,Telecom,IT,0,0,0,0,8.6,6.2,1.0,5.6,6.7,0,1,Netcologne
111,13.17453799,1,0,28.0,Telecom,IT,0,0,0,0,7.0,6.2,2.6,5.6,8.3,0,1,Netcologne
112,14.85010267,1,0,25.0,manufacture,HR,1,1,0,0,6.2,5.5,5.7,5.6,4.4,0,1,Siemens
113,24.24640657,1,1,23.0,Building,Marketing,1,1,0,0,3.8,7.6,7.2,2.5,4.4,1,0,Xervon gmbh
114,12.09034908,1,0,25.0,Building,HR,1,1,0,0,7.0,4.8,4.9,5.6,6.0,1,0,Bsk
115,11.49897331,1,1,26.0,Banks,HR,0,1,0,0,4.6,6.2,5.7,4.0,6.0,1,0,Lbbw
116,11.49897331,1,1,26.0,Banks,HR,0,1,0,0,4.6,5.5,6.4,5.6,5.2,1,0,Unicredit
117,27.36755647,1,0,30.0,Retail,Sales,0,0,0,0,7.0,4.8,1.8,8.7,6.7,0,1,Action
118,15.54004107,1,0,38.0,IT,IT,0,0,0,0,6.2,4.1,1.8,8.7,8.3,0,1,Linkbynet
119,4.960985626,1,1,37.0,State,Marketing,0,1,0,1,9.4,4.1,4.9,4.0,8.3,0,0,Comune di modena
120,19.8110883,1,1,26.0,Agriculture,Law,0,0,1,0,5.4,4.8,8.7,5.6,2.9,1,0,Syngenta
121,103.3921971,1,1,27.0,Banks,HR,0,1,0,0,3.8,4.8,9.5,6.3,3.7,0,1,Banco santander
122,3.975359343,1,1,29.0,Retail,etc,0,0,0,0,7.8,5.5,5.7,4.0,5.2,1,0,Caprabo
123,3.975359343,1,1,29.0,Retail,etc,0,0,0,0,6.2,6.2,5.7,6.3,2.9,1,0,Global intergold
124,3.975359343,1,1,29.0,Retail,etc,0,0,0,0,7.0,6.2,5.7,4.0,3.7,1,0,Sarenza
125,70.93223819,1,1,26.0,manufacture,HR,0,0,0,0,3.8,5.5,8.7,3.3,3.7,1,0,Carel
126,70.93223819,1,1,26.0,manufacture,HR,0,0,0,0,3.0,6.9,6.4,3.3,2.9,1,0,Carel
127,51.94250513,1,1,49.0,manufacture,HR,1,0,0,0,6.2,8.4,3.3,3.3,6.0,1,0,Groupe delta dore
128,38.76796715,1,0,21.0,Banks,HR,1,1,0,1,7.8,6.2,2.6,5.6,9.0,0,0,Unicredit
129,38.76796715,1,0,21.0,Banks,HR,1,1,0,1,7.0,3.4,3.3,7.1,8.3,0,0,Banco santander
130,34.95687885,1,0,26.0,Mining,HR,1,1,0,0,4.6,3.4,8.7,7.9,7.5,0,1,Dunlop conveyor belting
131,49.3798768,1,1,22.0,etc,Marketing,0,1,1,0,5.4,6.9,6.4,4.0,4.4,0,1,Teatro real
132,25.65913758,1,0,51.0,Retail,etc,0,0,0,0,3.0,5.5,9.5,5.6,5.2,0,1,Coop
133,50.72689938,1,1,28.0,manufacture,Finanñe,0,0,0,0,7.8,3.4,6.4,4.0,4.4,0,1,"Mettler-toledo international, inc"
134,22.07802875,1,0,52.0,Consult,Consult,0,0,0,1,3.0,9.1,4.9,6.3,6.7,0,0,Soges s.p.a.
135,11.07186858,1,1,43.0,Pharma,HR,1,1,0,0,4.6,5.5,3.3,7.9,7.5,0,1,Cromsource
136,50.59548255,1,1,44.0,manufacture,HR,0,0,1,0,7.0,6.9,4.9,3.3,6.0,0,1,Simon
137,17.41273101,1,1,45.0,manufacture,Engineer,1,1,0,0,3.8,4.1,7.2,5.6,3.7,1,0,Carel
138,24.41067762,1,1,27.0,Building,HR,0,1,0,0,3.8,9.8,4.1,4.0,9.0,1,0,Xervon gmbh
139,23.88501027,1,1,26.0,Retail,HR,1,1,0,0,7.0,5.5,4.1,4.8,7.5,1,0,Intertoys
140,20.04106776,1,1,25.0,manufacture,HR,1,1,0,0,9.4,3.4,1.8,8.7,7.5,0,1,Siemens
141,150.9979466,1,1,19.0,Banks,HR,1,0,0,1,7.0,3.4,5.7,7.9,6.7,0,0,Credit suisse
142,10.7761807,1,1,31.0,etc,HR,0,0,0,0,9.4,3.4,1.0,8.7,9.8,1,0,Uefa
143,78.68583162,1,1,31.0,Banks,HR,0,1,1,0,3.8,4.1,7.2,8.7,2.1,1,0,Ing
144,78.68583162,1,1,31.0,Banks,HR,0,1,1,0,3.8,4.1,7.2,8.7,2.1,1,0,Unicredit
145,81.18275154,1,1,31.0,RealEstate,HR,1,1,0,0,6.2,4.8,8.7,6.3,5.2,1,0,Metrovacesa
146,13.40451745,1,1,30.40033257,etc,HR,0,1,0,0,6.2,4.1,6.4,6.3,1.0,1,0,Mcfit global group gmbh
147,13.40451745,1,1,30.40033257,etc,HR,0,1,0,0,7.0,6.9,4.1,6.3,3.7,1,0,Mcfit global group gmbh
148,142.4558522,1,1,18.0,Retail,HR,0,1,0,0,6.2,5.5,6.4,4.8,5.2,1,0,General optica
149,10.94045175,1,0,33.0,IT,Consult,1,0,0,0,3.0,10.0,5.7,6.3,8.3,0,1,Giesecke & devrient
150,12.05749487,1,1,36.0,Retail,Sales,0,0,0,0,5.4,4.8,4.9,4.8,6.0,1,0,Global intergold
151,54.07802875,1,1,31.0,etc,HR,1,0,0,0,3.0,5.5,7.2,5.6,6.0,0,1,Mcfit global group gmbh
152,5.650924025,1,1,45.0,IT,HR,0,0,0,0,7.8,4.8,4.1,4.0,6.0,0,1,Teoresi s.p.a
153,19.84394251,1,1,29.0,Retail,HR,1,1,0,0,8.6,6.9,4.9,3.3,6.0,0,1,Intertoys
154,79.86858316,1,0,23.0,Banks,HR,0,1,0,0,5.4,5.5,5.7,8.7,5.2,1,0,Société générale
155,8.772073922,1,1,27.0,Retail,HR,1,1,0,0,6.2,4.8,6.4,6.3,2.9,0,1,General optica
156,19.18685832,1,1,22.0,Retail,Sales,1,0,1,0,8.6,4.1,4.9,4.8,5.2,1,0,Coin
157,7.589322382,1,0,47.0,manufacture,Commercial,0,0,1,0,3.8,1.9,8.7,8.7,2.1,1,0,Groupe delta dore
158,7.589322382,1,0,47.0,manufacture,Commercial,0,0,1,0,4.6,4.1,5.7,9.4,3.7,1,0,"Mettler-toledo international, inc"
159,7.589322382,1,0,47.0,manufacture,Commercial,0,0,1,0,3.0,5.5,4.9,9.4,4.4,1,0,"Mettler-toledo international, inc"
160,10.84188912,1,1,30.40033257,Consult,HR,0,0,0,0,7.8,5.5,4.9,7.1,6.0,1,0,Soges s.p.a.
161,51.08829569,1,1,28.0,transport,HR,1,1,0,0,4.6,6.9,4.9,4.0,6.0,0,1,Systra
162,128.0657084,0,1,43.0,manufacture,HR,1,0,0,0,4.6,7.6,4.9,5.6,6.0,1,0,Groupe delta dore
163,28.35318275,1,0,26.0,Consult,Consult,0,1,0,0,8.6,5.5,4.1,7.1,6.7,1,0,Ebbinge
164,4.533880903,1,1,31.0,Retail,Sales,0,1,1,0,5.4,5.5,7.2,4.8,1.3,1,0,Lidl italia
165,17.93839836,1,0,24.0,Retail,HR,1,1,1,0,4.6,7.6,6.4,4.8,6.7,1,0,Action
166,23.45790554,1,1,27.0,Building,HR,0,1,0,0,3.8,9.8,4.1,4.0,9.0,1,0,Bsk
167,16.22997947,1,0,35.0,Retail,HR,0,0,0,0,6.2,5.5,5.7,4.0,2.9,0,1,Edeka aktiengesellschaft
168,16.22997947,1,0,35.0,Retail,HR,0,0,0,0,7.0,4.8,2.6,5.6,6.0,0,1,Zooplus ag
169,71.2936345,1,1,31.0,PowerGeneration,HR,1,1,0,0,5.4,4.1,6.4,4.8,4.4,0,1,Mbp group
170,9.527720739,1,0,23.0,IT,HR,0,1,0,0,7.0,4.1,6.4,4.8,5.2,1,0,Sita
171,17.01848049,1,1,40.0,Banks,Sales,1,1,0,0,5.4,4.1,4.9,6.3,7.5,0,1,Lbbw
172,130.9897331,1,1,31.0,IT,HR,0,0,0,0,5.4,6.9,3.3,4.0,8.3,1,0,Teoresi s.p.a
173,37.09240246,1,1,37.0,etc,HR,1,1,0,0,6.2,6.2,6.4,5.6,5.2,1,0,Teatro alla scala
174,0.427104723,1,1,24.0,IT,HR,1,1,0,0,8.6,4.1,4.9,3.3,6.0,1,0,Sita
175,12.8788501,1,1,23.0,Building,HR,0,1,1,0,5.4,8.4,4.1,4.8,6.0,1,0,Xervon gmbh
176,12.8788501,1,1,23.0,Building,HR,0,1,1,0,7.8,5.5,4.1,4.8,5.2,1,0,Xervon gmbh
177,8.147843943,1,1,46.0,RealEstate,HR,0,0,0,0,4.6,7.6,6.4,4.0,6.0,0,1,Metrovacesa
178,7.326488706,1,1,23.0,Consult,Marketing,1,1,0,0,6.2,4.8,5.7,3.3,3.7,1,0,Ebbinge
179,17.93839836,1,1,40.0,IT,HR,1,0,0,0,3.0,8.4,7.2,4.8,8.3,1,0,Teoresi s.p.a
180,14.6201232,1,0,39.0,manufacture,Engineer,0,0,0,0,3.8,4.8,5.7,7.9,3.7,0,1,Simon
181,16.0,1,1,28.0,Retail,HR,0,1,0,0,3.0,5.5,6.4,5.6,3.7,0,1,Intertoys
182,32.45995893,1,0,40.0,etc,HR,1,0,0,0,5.4,3.4,5.7,7.9,9.8,0,1,Teatro real
183,73.49486653,1,0,33.0,Retail,Finanñe,0,1,0,0,2.2,6.2,6.4,6.3,5.2,1,0,General optica
184,73.49486653,1,0,33.0,Retail,Finanñe,0,1,0,0,3.8,4.1,8.0,6.3,4.4,1,0,Tape à l'oeil
185,11.8275154,1,1,24.0,Banks,HR,0,1,0,1,7.8,6.2,4.9,1.7,3.7,0,0,Lbbw
186,46.35728953,1,1,38.0,Retail,HR,0,0,0,0,6.2,4.1,4.9,5.6,6.7,1,0,Lidl italia
187,52.50102669,1,0,35.0,manufacture,BusinessDevelopment,0,0,0,0,5.4,4.8,4.1,7.9,7.5,0,1,Groupe delta dore
188,14.98151951,1,1,33.0,manufacture,HR,1,0,0,0,4.6,4.8,7.2,7.9,6.0,0,1,Carel
189,26.21765914,1,1,36.0,etc,HR,0,0,0,1,3.0,6.9,6.4,4.8,6.0,0,0,Teatro alla scala
190,26.21765914,1,1,36.0,etc,HR,0,0,0,1,2.2,6.9,8.0,6.3,3.7,0,0,Mcfit global group gmbh
191,26.21765914,1,1,36.0,etc,HR,0,0,0,1,3.0,6.9,7.2,4.8,5.2,0,0,Uefa
192,29.07597536,1,1,22.0,etc,HR,1,1,0,0,9.4,4.1,4.1,4.8,9.0,1,0,Mcfit global group gmbh
193,33.3798768,1,1,38.0,manufacture,HR,0,0,0,0,7.8,2.6,5.7,7.1,5.2,1,0,Simon
194,5.848049281,1,1,23.0,Banks,HR,1,1,0,0,4.6,6.9,7.2,5.6,4.4,1,0,Credit suisse
195,5.848049281,1,1,23.0,Banks,HR,1,1,0,0,6.2,4.8,4.9,4.8,3.7,1,0,Ing
196,77.53593429,1,1,24.0,etc,Sales,1,1,0,0,6.2,5.5,5.7,3.3,2.1,1,0,Uefa
197,166.275154,1,0,26.0,Retail,Sales,0,0,0,0,3.0,5.5,5.7,7.1,6.7,0,1,Global intergold
198,107.1704312,1,1,33.0,etc,etc,0,0,0,0,5.4,1.0,9.5,9.4,5.2,1,0,Teatro alla scala
199,19.44969199,1,1,40.0,Banks,HR,1,1,1,0,6.2,3.4,8.0,3.3,3.7,1,0,Unicredit
200,8.640657084,1,1,23.0,manufacture,manage,0,1,0,0,3.8,4.1,8.7,4.0,2.9,0,1,Groupe delta dore
201,13.66735113,1,1,27.0,Retail,HR,0,0,0,0,8.6,4.8,7.2,4.0,3.7,0,1,Edeka aktiengesellschaft
202,6.275154004,1,1,24.0,PowerGeneration,Sales,1,1,0,0,5.4,6.2,4.1,6.3,9.8,1,0,Mbp group
203,23.19507187,1,1,30.0,Banks,HR,0,1,0,0,5.4,7.6,2.6,5.6,6.0,0,1,Credit suisse
204,16.32854209,1,1,37.0,Pharma,etc,0,1,0,0,4.6,7.6,5.7,5.6,8.3,0,1,Cromsource
205,26.11909651,1,1,31.0,manufacture,HR,0,0,1,0,3.0,7.6,4.9,5.6,5.2,1,0,Simon
206,35.38398357,1,1,31.0,Retail,HR,0,0,0,0,3.8,10.0,3.3,3.3,6.7,1,0,Edeka aktiengesellschaft
207,25.98767967,1,1,23.0,IT,HR,1,1,0,0,1.4,2.6,9.5,8.7,2.1,1,0,Linkbynet
208,3.58110883,1,1,40.0,Banks,HR,0,1,0,0,7.8,5.5,2.6,6.3,8.3,1,0,Société générale
209,3.58110883,1,1,40.0,Banks,HR,0,1,0,0,8.6,5.5,3.3,6.3,7.5,1,0,Lbbw
210,3.58110883,1,1,40.0,Banks,HR,0,1,0,0,7.0,6.9,4.1,5.6,7.5,1,0,Lbbw
211,1.708418891,1,1,37.0,etc,Marketing,0,1,0,0,4.6,2.6,8.7,4.0,2.9,1,0,Teatro alla scala
212,25.23203285,1,1,30.0,Retail,Sales,0,1,0,0,4.6,2.6,7.2,6.3,5.2,1,0,Caprabo
213,13.8973306,1,1,38.0,State,Teaching,0,1,0,1,3.0,9.1,4.1,4.8,6.0,0,0,Comune di modena
214,63.11293634,1,0,32.0,Mining,Law,0,1,0,0,3.0,4.8,4.1,7.1,7.5,1,0,Dunlop conveyor belting
215,11.30184805,1,1,34.0,Building,Marketing,0,0,1,0,9.4,3.4,4.9,3.3,6.0,0,1,Xervon gmbh
216,11.69609856,1,1,25.0,manufacture,HR,1,1,1,0,3.0,4.8,7.2,7.9,5.2,0,1,Groupe delta dore
217,11.69609856,1,1,25.0,manufacture,HR,1,1,1,0,3.0,5.5,5.7,7.1,5.2,0,1,Imtech
218,30.22587269,0,0,33.0,Retail,HR,1,1,0,0,4.6,6.2,8.0,7.1,5.2,0,1,Tape à l'oeil
219,30.22587269,0,0,33.0,Retail,HR,1,1,0,0,5.4,7.6,5.7,7.1,6.0,0,1,General optica
220,38.01232033,0,0,33.0,Retail,HR,1,0,0,0,3.0,4.1,8.0,7.1,3.7,0,1,General optica
